Amazon,,Apple,,Microsoft,
7/27/2018,90.864,7/27/2018,2/16/1900,7/27/2018,107.68
8/3/2018,91.165,8/3/2018,2/20/1900,8/3/2018,108.04
8/10/2018,94.315,8/10/2018,2/20/1900,8/10/2018,109
8/17/2018,94.111,8/17/2018,2/23/1900,8/17/2018,107.58
8/24/2018,95.27,8/24/2018,2/23/1900,8/24/2018,108.4
8/31/2018,100.636,8/31/2018,2/25/1900,8/31/2018,112.33
9/7/2018,97.604,9/7/2018,2/24/1900,9/7/2018,108.21
9/14/2018,98.51,9/14/2018,2/24/1900,9/14/2018,113.37
9/21/2018,95.751,9/21/2018,2/23/1900,9/21/2018,114.26
9/28/2018,100.15,9/28/2018,2/25/1900,9/28/2018,114.37
10/5/2018,94.483,10/5/2018,2/25/1900,10/5/2018,112.13
10/12/2018,89.431,10/12/2018,2/24/1900,10/12/2018,109.57
10/19/2018,88.202,10/19/2018,2/23/1900,10/19/2018,108.66
10/26/2018,82.141,10/26/2018,2/23/1900,10/26/2018,106.96
11/2/2018,83.277,11/2/2018,2/20/1900,11/2/2018,106.16
11/9/2018,85.622,11/9/2018,2/20/1900,11/9/2018,109.57
11/16/2018,79.671,11/16/2018,2/17/1900,11/16/2018,108.29
11/23/2018,75.103,11/23/2018,2/12/1900,11/23/2018,103.07
11/30/2018,84.509,11/30/2018,2/13/1900,11/30/2018,110.89
12/7/2018,81.457,12/7/2018,2/11/1900,12/7/2018,104.82
12/14/2018,79.596,12/14/2018,2/10/1900,12/14/2018,106.03
12/21/2018,68.873,12/21/2018,2/6/1900,12/21/2018,98.23
12/28/2018,73.901,12/28/2018,2/8/1900,12/28/2018,100.39
1/4/2019,78.77,1/4/2019,2/6/1900,1/4/2019,101.93
1/11/2019,82.028,1/11/2019,2/7/1900,1/11/2019,102.8
1/18/2019,84.81,1/18/2019,2/8/1900,1/18/2019,107.71
1/25/2019,83.529,1/25/2019,2/8/1900,1/25/2019,107.17
2/1/2019,81.312,2/1/2019,2/10/1900,2/1/2019,102.78
2/8/2019,79.411,2/8/2019,2/11/1900,2/8/2019,105.67
2/15/2019,80.398,2/15/2019,2/11/1900,2/15/2019,108.22
2/22/2019,81.578,2/22/2019,2/12/1900,2/22/2019,110.97
3/1/2019,83.587,3/1/2019,2/12/1900,3/1/2019,112.53
3/8/2019,81.04,3/8/2019,2/12/1900,3/8/2019,110.51
3/15/2019,85.618,3/15/2019,2/15/1900,3/15/2019,115.91
3/22/2019,88.239,3/22/2019,2/16/1900,3/22/2019,117.05
3/29/2019,89.038,3/29/2019,2/16/1900,3/29/2019,117.94
4/5/2019,91.864,4/5/2019,2/18/1900,4/5/2019,119.89
4/12/2019,92.153,4/12/2019,2/18/1900,4/12/2019,120.95
4/19/2019,93.085,4/19/2019,2/19/1900,4/19/2019,123.37
4/26/2019,97.532,4/26/2019,2/20/1900,4/26/2019,129.89
5/3/2019,98.123,5/3/2019,2/21/1900,5/3/2019,128.9
5/10/2019,94.499,5/10/2019,2/18/1900,5/10/2019,127.13
5/17/2019,93.45,5/17/2019,2/16/1900,5/17/2019,128.07
5/24/2019,91.164,5/24/2019,2/13/1900,5/24/2019,126.24
5/31/2019,88.754,5/31/2019,2/12/1900,5/31/2019,123.68
6/7/2019,90.202,6/7/2019,2/16/1900,6/7/2019,131.4
6/14/2019,93.484,6/14/2019,2/17/1900,6/14/2019,132.45
6/21/2019,95.565,6/21/2019,2/18/1900,6/21/2019,136.97
6/28/2019,94.682,6/28/2019,2/18/1900,6/28/2019,133.96
7/5/2019,97.146,7/5/2019,2/20/1900,7/5/2019,137.06
7/12/2019,100.55,7/12/2019,2/19/1900,7/12/2019,138.9
7/19/2019,98.226,7/19/2019,2/19/1900,7/19/2019,136.62
7/26/2019,97.153,7/26/2019,2/20/1900,7/26/2019,141.34
8/2/2019,91.162,8/2/2019,2/20/1900,8/2/2019,136.9
8/9/2019,90.379,8/9/2019,2/19/1900,8/9/2019,137.71
8/16/2019,89.629,8/16/2019,2/20/1900,8/16/2019,136.13
8/23/2019,87.481,8/23/2019,2/19/1900,8/23/2019,133.39
8/30/2019,88.815,8/30/2019,2/21/1900,8/30/2019,137.86
9/6/2019,91.676,9/6/2019,2/22/1900,9/6/2019,139.1
9/13/2019,91.967,9/13/2019,2/23/1900,9/13/2019,137.32
9/20/2019,89.708,9/20/2019,2/23/1900,9/20/2019,139.44
9/27/2019,86.273,9/27/2019,2/23/1900,9/27/2019,137.73
10/4/2019,86.983,10/4/2019,2/25/1900,10/4/2019,138.12
10/11/2019,86.596,10/11/2019,2/28/1900,10/11/2019,139.68
10/18/2019,87.876,10/18/2019,2/28/1900,10/18/2019,137.41
10/25/2019,88.066,10/25/2019,3/1/1900,10/25/2019,140.73
11/1/2019,89.572,11/1/2019,3/3/1900,11/1/2019,143.72
11/8/2019,89.294,11/8/2019,3/5/1900,11/8/2019,145.96
11/15/2019,86.975,11/15/2019,3/6/1900,11/15/2019,149.97
11/22/2019,87.286,11/22/2019,3/5/1900,11/22/2019,149.59
11/29/2019,90.04,11/29/2019,3/6/1900,11/29/2019,151.38
12/6/2019,87.58,12/6/2019,3/7/1900,12/6/2019,151.75
12/13/2019,88.047,12/13/2019,3/8/1900,12/13/2019,154.53
12/20/2019,89.325,12/20/2019,3/9/1900,12/20/2019,157.41
12/27/2019,93.49,12/27/2019,3/12/1900,12/27/2019,158.96
1/3/2020,93.749,1/3/2020,3/14/1900,1/3/2020,158.62
1/10/2020,94.158,1/10/2020,3/17/1900,1/10/2020,161.34
1/17/2020,93.236,1/17/2020,3/19/1900,1/17/2020,167.1
1/24/2020,93.082,1/24/2020,3/19/1900,1/24/2020,165.04
1/31/2020,100.436,1/31/2020,3/17/1900,1/31/2020,170.23
2/7/2020,103.964,2/7/2020,3/20/1900,2/7/2020,183.89
2/14/2020,106.744,2/14/2020,3/21/1900,2/14/2020,185.35
2/21/2020,104.798,2/21/2020,3/18/1900,2/21/2020,178.59
2/28/2020,94.188,2/28/2020,3/8/1900,2/28/2020,162.01
3/6/2020,95.054,3/6/2020,3/12/1900,3/6/2020,161.57
3/13/2020,89.25,3/13/2020,3/9/1900,3/13/2020,158.83
3/20/2020,92.304,3/20/2020,2/26/1900,3/20/2020,137.35
3/27/2020,95.005,3/27/2020,3/1/1900,3/27/2020,149.7
4/3/2020,95.33,4/3/2020,2/29/1900,4/3/2020,153.83
4/10/2020,102.138,4/10/2020,3/6/1900,4/10/2020,165.14
4/17/2020,118.75,4/17/2020,3/10/1900,4/17/2020,178.6
4/24/2020,120.511,4/24/2020,3/10/1900,4/24/2020,174.55
5/1/2020,114.302,5/1/2020,3/12/1900,5/1/2020,174.57
5/8/2020,118.981,5/8/2020,3/17/1900,5/8/2020,184.68
5/15/2020,120.489,5/15/2020,3/16/1900,5/15/2020,183.16
5/22/2020,121.844,5/22/2020,3/19/1900,5/22/2020,183.51
5/29/2020,122.119,5/29/2020,3/19/1900,5/29/2020,183.25
6/5/2020,124.15,6/5/2020,3/22/1900,6/5/2020,187.2
6/12/2020,127.251,6/12/2020,3/24/1900,6/12/2020,187.74
6/19/2020,133.751,6/19/2020,3/27/1900,6/19/2020,195.15
6/26/2020,134.644,6/26/2020,3/28/1900,6/26/2020,196.33
7/3/2020,144.515,7/3/2020,3/31/1900,7/3/2020,206.26
7/10/2020,160,7/10/2020,4/4/1900,7/10/2020,213.67
7/17/2020,148.099,7/17/2020,4/5/1900,7/17/2020,202.88
7/24/2020,150.445,7/24/2020,4/1/1900,7/24/2020,201.3
7/31/2020,158.234,7/31/2020,4/15/1900,7/31/2020,205.01
8/7/2020,158.373,8/7/2020,4/20/1900,8/7/2020,212.48
8/14/2020,157.401,8/14/2020,4/23/1900,8/14/2020,208.9
8/21/2020,164.236,8/21/2020,5/3/1900,8/21/2020,213.02
8/28/2020,170.09,8/28/2020,5/3/1900,8/28/2020,228.91
9/4/2020,164.731,9/4/2020,4/29/1900,9/4/2020,214.25
9/11/2020,155.811,9/11/2020,4/21/1900,9/11/2020,204.03
9/18/2020,147.746,9/18/2020,4/15/1900,9/18/2020,200.39
9/25/2020,154.757,9/25/2020,4/21/1900,9/25/2020,207.82
10/2/2020,156.25,10/2/2020,4/22/1900,10/2/2020,206.19
10/9/2020,164.333,10/9/2020,4/25/1900,10/9/2020,215.81
10/16/2020,163.636,10/16/2020,4/28/1900,10/16/2020,219.66
10/23/2020,160.22,10/23/2020,4/24/1900,10/23/2020,216.23
10/30/2020,151.808,10/30/2020,4/17/1900,10/30/2020,202.47
11/6/2020,165.569,11/6/2020,4/27/1900,11/6/2020,223.72
11/13/2020,156.441,11/13/2020,4/28/1900,11/13/2020,216.51
11/20/2020,154.97,11/20/2020,4/26/1900,11/20/2020,210.39
11/27/2020,159.767,11/27/2020,4/25/1900,11/27/2020,215.23
12/4/2020,158.129,12/4/2020,5/1/1900,12/4/2020,214.36
12/11/2020,155.821,12/11/2020,5/1/1900,12/11/2020,213.26
12/18/2020,160.083,12/18/2020,5/5/1900,12/18/2020,218.59
12/25/2020,158.635,12/25/2020,5/10/1900,12/25/2020,222.75
1/1/2021,162.847,1/1/2021,5/11/1900,1/1/2021,222.42
1/8/2021,159.135,1/8/2021,5/11/1900,1/8/2021,219.62
1/15/2021,155.213,1/15/2021,5/6/1900,1/15/2021,212.65
1/22/2021,164.612,1/22/2021,5/18/1900,1/22/2021,225.95
1/29/2021,160.31,1/29/2021,5/10/1900,1/29/2021,231.96
2/5/2021,167.608,2/5/2021,5/15/1900,2/5/2021,242.2
2/12/2021,163.886,2/12/2021,5/14/1900,2/12/2021,244.99
2/19/2021,162.495,2/19/2021,5/8/1900,2/19/2021,240.97
2/26/2021,154.647,2/26/2021,4/30/1900,2/26/2021,232.38
3/5/2021,150.023,3/5/2021,4/30/1900,3/5/2021,231.6
3/12/2021,154.474,3/12/2021,4/30/1900,3/12/2021,235.75
3/19/2021,153.748,3/19/2021,4/28/1900,3/19/2021,230.35
3/26/2021,152.602,3/26/2021,4/30/1900,3/26/2021,236.48
4/2/2021,158.05,4/2/2021,5/2/1900,4/2/2021,242.35
4/9/2021,168.61,4/9/2021,5/11/1900,4/9/2021,255.85
4/16/2021,169.972,4/16/2021,5/13/1900,4/16/2021,260.74
4/23/2021,167.044,4/23/2021,5/13/1900,4/23/2021,261.15
4/30/2021,173.371,4/30/2021,5/10/1900,4/30/2021,252.18
5/7/2021,164.581,5/7/2021,5/9/1900,5/7/2021,252.46
5/14/2021,161.145,5/14/2021,5/6/1900,5/14/2021,248.15
5/21/2021,160.154,5/21/2021,5/4/1900,5/21/2021,245.17
5/28/2021,161.154,5/28/2021,5/3/1900,5/28/2021,249.68
6/4/2021,160.311,6/4/2021,5/4/1900,6/4/2021,250.79
6/11/2021,167.342,6/11/2021,5/6/1900,6/11/2021,257.89
6/18/2021,174.345,6/18/2021,5/9/1900,6/18/2021,259.43
6/25/2021,170.073,6/25/2021,5/12/1900,6/25/2021,265.02
7/2/2021,175.549,7/2/2021,5/18/1900,7/2/2021,277.65
7/9/2021,185.967,7/9/2021,5/24/1900,7/9/2021,277.94
7/16/2021,178.682,7/16/2021,5/25/1900,7/16/2021,280.75
7/23/2021,182.832,7/23/2021,5/27/1900,7/23/2021,289.67
7/30/2021,166.38,7/30/2021,5/24/1900,7/30/2021,284.91
8/6/2021,167.247,8/6/2021,5/25/1900,8/6/2021,289.46
8/13/2021,164.699,8/13/2021,5/28/1900,8/13/2021,292.85
8/20/2021,159.998,8/20/2021,5/27/1900,8/20/2021,304.36
8/27/2021,167.482,8/27/2021,5/27/1900,8/27/2021,299.72
9/3/2021,173.903,9/3/2021,6/2/1900,9/3/2021,301.14
9/10/2021,173.458,9/10/2021,5/27/1900,9/10/2021,295.71
9/17/2021,173.126,9/17/2021,5/25/1900,9/17/2021,299.87
9/24/2021,171.276,9/24/2021,5/25/1900,9/24/2021,299.35
10/1/2021,164.163,10/1/2021,5/21/1900,10/1/2021,289.1
10/8/2021,164.431,10/8/2021,5/21/1900,10/8/2021,294.85
10/15/2021,170.451,10/15/2021,5/23/1900,10/15/2021,304.21
10/22/2021,166.778,10/22/2021,5/27/1900,10/22/2021,309.16
10/29/2021,168.622,10/29/2021,5/28/1900,10/29/2021,331.62
11/5/2021,175.95,11/5/2021,5/30/1900,11/5/2021,336.06
11/12/2021,176.258,11/12/2021,5/28/1900,11/12/2021,336.72
11/19/2021,183.829,11/19/2021,6/8/1900,11/19/2021,343.11
11/26/2021,175.228,11/26/2021,6/4/1900,11/26/2021,329.68
12/3/2021,169.49,12/3/2021,6/9/1900,12/3/2021,323.01
12/10/2021,172.212,12/10/2021,6/27/1900,12/10/2021,342.54
12/17/2021,170.017,12/17/2021,6/19/1900,12/17/2021,323.8
12/24/2021,171.069,12/24/2021,6/24/1900,12/24/2021,334.69
12/31/2021,166.717,12/31/2021,6/25/1900,12/31/2021,336.32
1/7/2022,162.554,1/7/2022,6/20/1900,1/7/2022,314.04
1/14/2022,162.138,1/14/2022,6/21/1900,1/14/2022,310.2
1/21/2022,142.643,1/21/2022,6/10/1900,1/21/2022,296.03
1/28/2022,143.978,1/28/2022,6/18/1900,1/28/2022,308.26
2/4/2022,157.64,2/4/2022,6/20/1900,2/4/2022,305.94
2/11/2022,153.294,2/11/2022,6/16/1900,2/11/2022,295.04
2/18/2022,152.602,2/18/2022,6/15/1900,2/18/2022,287.93
2/25/2022,153.789,2/25/2022,6/12/1900,2/25/2022,297.31
3/4/2022,145.641,3/4/2022,6/11/1900,3/4/2022,289.86
3/11/2022,145.525,3/11/2022,6/2/1900,3/11/2022,280.07
3/18/2022,161.251,3/18/2022,6/11/1900,3/18/2022,300.43
3/25/2022,164.773,3/25/2022,6/22/1900,3/25/2022,303.68
4/1/2022,163.56,4/1/2022,6/22/1900,4/1/2022,309.42
4/8/2022,154.461,4/8/2022,6/18/1900,4/8/2022,296.97
4/15/2022,151.707,4/15/2022,6/13/1900,4/15/2022,279.83
4/22/2022,144.35,4/22/2022,6/9/1900,4/22/2022,274.03
4/29/2022,124.282,4/29/2022,6/5/1900,4/29/2022,277.52
5/6/2022,114.773,5/6/2022,6/5/1900,5/6/2022,274.73
5/13/2022,113.055,5/13/2022,5/26/1900,5/13/2022,261.12
5/20/2022,107.591,5/20/2022,5/16/1900,5/20/2022,252.56
5/27/2022,115.146,5/27/2022,5/28/1900,5/27/2022,273.24
6/3/2022,122.35,6/3/2022,5/24/1900,6/3/2022,270.02
6/10/2022,109.65,6/10/2022,5/16/1900,6/10/2022,252.99
6/17/2022,106.22,6/17/2022,5/10/1900,6/17/2022,247.65
6/24/2022,116.46,6/24/2022,5/20/1900,6/24/2022,267.7
7/1/2022,109.56,7/1/2022,5/17/1900,7/1/2022,259.58
7/8/2022,115.54,7/8/2022,5/26/1900,7/8/2022,267.66
7/15/2022,113.55,7/15/2022,5/29/1900,7/15/2022,256.72
7/22/2022,122.42,7/22/2022,6/2/1900,7/22/2022,260.36
7/29/2022,134.95,7/29/2022,6/10/1900,7/29/2022,280.74
8/5/2022,140.8,8/5/2022,6/13/1900,8/5/2022,282.91
8/12/2022,143.55,8/12/2022,6/20/1900,8/12/2022,291.91
8/19/2022,138.23,8/19/2022,6/19/1900,8/19/2022,286.15
8/26/2022,130.75,8/26/2022,6/11/1900,8/26/2022,268.09
9/2/2022,127.51,9/2/2022,6/3/1900,9/2/2022,256.06
9/9/2022,133.27,9/9/2022,6/5/1900,9/9/2022,264.46
9/16/2022,123.53,9/16/2022,5/29/1900,9/16/2022,244.74
9/23/2022,113.78,9/23/2022,5/29/1900,9/23/2022,237.92
9/30/2022,113,9/30/2022,5/17/1900,9/30/2022,232.9
10/7/2022,114.56,10/7/2022,5/19/1900,10/7/2022,234.24
10/14/2022,106.9,10/14/2022,5/17/1900,10/14/2022,228.56
10/21/2022,119.32,10/21/2022,5/26/1900,10/21/2022,242.12
10/28/2022,103.41,10/28/2022,6/3/1900,10/28/2022,235.87
11/4/2022,90.98,11/4/2022,5/17/1900,11/4/2022,221.39
11/11/2022,100.79,11/11/2022,5/28/1900,11/11/2022,247.11
11/18/2022,94.14,11/18/2022,5/30/1900,11/18/2022,241.22
11/25/2022,93.41,11/25/2022,5/27/1900,11/25/2022,247.49
12/2/2022,94.13,12/2/2022,5/26/1900,12/2/2022,255.02
12/9/2022,89.09,12/9/2022,5/21/1900,12/9/2022,245.42
12/16/2022,87.86,12/16/2022,5/13/1900,12/16/2022,244.69
12/23/2022,85.25,12/23/2022,5/10/1900,12/23/2022,238.73
12/30/2022,84,12/30/2022,5/8/1900,12/30/2022,239.82
1/6/2023,86.08,1/6/2023,5/8/1900,1/6/2023,224.93
1/13/2023,98.12,1/13/2023,5/13/1900,1/13/2023,239.23
1/20/2023,97.25,1/20/2023,5/16/1900,1/20/2023,240.22
1/27/2023,102.24,1/27/2023,5/24/1900,1/27/2023,248.16
2/3/2023,103.39,2/3/2023,6/2/1900,2/3/2023,258.35
2/10/2023,97.61,2/10/2023,5/30/1900,2/10/2023,263.1
2/17/2023,97.2,2/17/2023,5/31/1900,2/17/2023,258.06
2/24/2023,93.5,2/24/2023,5/25/1900,2/24/2023,249.22
3/3/2023,94.9,3/3/2023,5/30/1900,3/3/2023,255.29
3/10/2023,90.73,3/10/2023,5/27/1900,3/10/2023,248.59
3/17/2023,98.95,3/17/2023,6/3/1900,3/17/2023,279.43
3/24/2023,98.13,3/24/2023,6/8/1900,3/24/2023,280.57
3/31/2023,103.29,3/31/2023,6/12/1900,3/31/2023,288.3
4/7/2023,102.06,4/7/2023,6/12/1900,4/7/2023,291.6
4/14/2023,102.51,4/14/2023,6/13/1900,4/14/2023,286.14
4/21/2023,106.96,4/21/2023,6/13/1900,4/21/2023,285.76
4/28/2023,105.45,4/28/2023,6/17/1900,4/28/2023,307.26
5/5/2023,105.655,5/5/2023,6/21/1900,5/5/2023,310.65
5/12/2023,110.26,5/12/2023,6/20/1900,5/12/2023,308.97
5/19/2023,116.25,5/19/2023,6/23/1900,5/19/2023,318.34
5/26/2023,120.11,5/26/2023,6/23/1900,5/26/2023,332.89
6/2/2023,124.25,6/2/2023,6/28/1900,6/2/2023,335.4
6/9/2023,123.43,6/9/2023,6/28/1900,6/9/2023,326.79
6/16/2023,125.49,6/16/2023,7/2/1900,6/16/2023,342.33
6/23/2023,129.33,6/23/2023,7/4/1900,6/23/2023,335.02
6/30/2023,130.36,6/30/2023,7/11/1900,6/30/2023,340.54
7/7/2023,129.78,7/7/2023,7/8/1900,7/7/2023,337.22
7/14/2023,134.68,7/14/2023,7/8/1900,7/14/2023,345.24
7/21/2023,130,7/21/2023,7/9/1900,7/21/2023,343.77
7/28/2023,132.21,7/28/2023,7/13/1900,7/28/2023,338.37
8/4/2023,139.57,8/4/2023,6/29/1900,8/4/2023,327.78
8/11/2023,138.41,8/11/2023,6/25/1900,8/11/2023,321.01
8/18/2023,133.22,8/18/2023,6/22/1900,8/18/2023,316.48
8/25/2023,133.26,8/25/2023,6/26/1900,8/25/2023,322.98
9/1/2023,138.12,9/1/2023,7/7/1900,9/1/2023,328.66
9/8/2023,138.23,9/8/2023,6/26/1900,9/8/2023,334.27
9/15/2023,140.39,9/15/2023,6/23/1900,9/15/2023,330.22
9/22/2023,129.12,9/22/2023,6/22/1900,9/22/2023,317.01
9/29/2023,127.12,9/29/2023,6/19/1900,9/29/2023,315.75
10/6/2023,127.96,10/6/2023,6/25/1900,10/6/2023,327.26
10/13/2023,129.79,10/13/2023,6/26/1900,10/13/2023,327.73
10/20/2023,125.17,10/20/2023,6/20/1900,10/20/2023,326.67
10/27/2023,127.74,10/27/2023,6/16/1900,10/27/2023,329.81
11/3/2023,138.6,11/3/2023,6/24/1900,11/3/2023,352.8
11/10/2023,143.56,11/10/2023,7/4/1900,11/10/2023,369.67
11/17/2023,145.18,11/17/2023,7/7/1900,11/17/2023,369.85
11/24/2023,146.74,11/24/2023,7/7/1900,11/24/2023,377.43
12/1/2023,147.03,12/1/2023,7/9/1900,12/1/2023,374.51
12/8/2023,147.42,12/8/2023,7/13/1900,12/8/2023,374.23
12/15/2023,149.97,12/15/2023,7/15/1900,12/15/2023,370.73
12/22/2023,153.42,12/22/2023,7/11/1900,12/22/2023,374.58
12/29/2023,151.94,12/29/2023,7/10/1900,12/29/2023,376.04
